PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Akinyemi, FO; Kgomo, MO				Akinyemi, Felicia O.; Kgomo, Margaret O.			Vegetation dynamics in African drylands: an assessment based on the Vegetation Degradation Index in an agro-pastoral region of Botswana	REGIONAL ENVIRONMENTAL CHANGE												Changes in vegetation conditions are induced both by climatic and human factors. Knowledge about how changes in vegetation conditions relate to its degradation is often lacking, although needed to sustainably manage rangeland resources in drylands. Contributions made to develop land management options require assessing vegetation dynamics and degradation in Palapye, an agro-pastoral region of high economic and biodiversity importance in eastern Botswana. The Vegetation Degradation Index (VDI) was applied to 18-year (1986-2016) time series of annual Normalized Difference Vegetation Index (ANDVI) images to establish vegetation degradation levels, i.e. relatively undegraded, low degradation, medium degradation, and high degradation. Plant species metrics and biophysical variables were then examined at nine sites with the aim of explaining variations in the vegetation degradation levels. Approximately 95% of the study area experienced low degradation and 11% had significant negative trends in ANDVI. Species richness, diversity, and rainfall explained 49% of the variance in degradation levels. Species diversity and richness were highest in Moeng (a relatively undegraded site), whereas they were lowest in Lesenopole (a low degradation site). A probable reason being that Colophospermum mopane contributed 87% of individual trees and shrubs at Lesenopole. Species diversity and richness were also negatively associated with VDI. The non-occurrence of some species such as Sclerocarya birrea and Lonchocarpus capassa on highly degraded sites suggests a link between species composition and the level of degradation. This study combined the use of theremote sensing-based VDI with field-based plant species data for validating vegetation degradation levels in a dryland context.						Akinyemi, Felicia O./0000-0001-6248-7430													1436-3798	1436-378X				OCT	2019	19	7			SI		2027	2039		10.1007/s10113-019-01541-4	http://dx.doi.org/10.1007/s10113-019-01541-4													WOS:000488930500016
J	Pilz, T; Delgado, JM; Voss, S; Vormoor, K; Francke, T; Costa, AC; Martins, E; Bronstert, A				Pilz, Tobias; Delgado, Jose Miguel; Voss, Sebastian; Vormoor, Klaus; Francke, Till; Costa, Alexandre Cunha; Martins, Eduardo; Bronstert, Axel			Seasonal drought prediction for semiarid northeast Brazil: what is the added value of a process-based hydrological model?	HYDROLOGY AND EARTH SYSTEM SCIENCES												The semiarid northeast of Brazil is one of the most densely populated dryland regions in the world and recurrently affected by severe droughts. Thus, reliable seasonal forecasts of streamflow and reservoir storage are of high value for water managers. Such forecasts can be generated by applying either hydrological models representing underlying processes or statistical relationships exploiting correlations among meteorological and hydrological variables. This work evaluates and compares the performances of seasonal reservoir storage forecasts derived by a process-based hydrological model and a statistical approach. Driven by observations, both models achieve similar simulation accuracies. In a hindcast experiment, however, the accuracy of estimating regional reservoir storages was considerably lower using the process-based hydrological model, whereas the resolution and reliability of drought event predictions were similar by both approaches. Further investigations regarding the deficiencies of the process-based model revealed a significant influence of antecedent wetness conditions and a higher sensitivity of model prediction performance to rainfall forecast quality. Within the scope of this study, the statistical model proved to be the more straightforward approach for predictions of reservoir level and drought events at regionally and monthly aggregated scales. However, for forecasts at finer scales of space and time or for the investigation of underlying processes, the costly initialisation and application of a process-based model can be worthwhile. Furthermore, the application of innovative data products, such as remote sensing data, and operational model correction methods, like data assimilation, may allow for an enhanced exploitation of the advanced capabilities of process-based hydrological models.					Bronstert, Axel/AAA-3314-2022; Costa, Alexandre/X-4942-2019; Delgado, José Miguel M/G-4975-2013; Costa, Alexandre Augusto da/HCJ-0140-2022; Martins, Eduardo Savio Passos Rodrigues/H-7228-2013; Pilz, Tobias/R-4830-2019	Delgado, José Miguel M/0000-0002-1672-6004; Costa, Alexandre Augusto da/0000-0001-7558-5435; Martins, Eduardo Savio Passos Rodrigues/0000-0002-9858-2541; Pilz, Tobias/0000-0002-5641-3918; Bronstert, Axel/0000-0002-6369-8536; Vormoor, Klaus/0000-0002-3426-9898; Costa, Alexandre Cunha/0000-0002-4771-1382													1027-5606	1607-7938				APR 11	2019	23	4					1951	1971		10.5194/hess-23-1951-2019	http://dx.doi.org/10.5194/hess-23-1951-2019													WOS:000464165000001
J	Kim, Y; Garcia, M; Johnson, MS				Kim, Yeonuk; Garcia, Monica; Johnson, Mark S. S.			Land-Atmosphere Coupling Constrains Increases to Potential Evaporation in a Warming Climate: Implications at Local and Global Scales	EARTHS FUTURE												The magnitude and extent of runoff reduction, drought intensification, and dryland expansion under climate change are unclear and contentious. A primary reason is disagreement between global circulation models and current potential evaporation (PE) models for the upper limit of evaporation under warming climatic conditions. An emerging body of research suggests that current PE models including Penman-Monteith and Priestley-Taylor may overestimate future evaporation for non-water-stressed conditions. However, they are still widely used for climatic impact analysis although the underlying physical mechanisms for PE projections remain unclear. Here, we show that current PE models diverge from observed non-water-stressed evaporation across site (> 1,500 flux tower site years), watershed (> 10,000 watershed-years), and global (25 climate models) scales. By not incorporating land-atmosphere coupling processes, current models overestimate non-water-stressed evaporation and its driving factors for warmer and drier conditions. To resolve this, we introduce a land-atmosphere coupled PE model by extending the Surface Flux Equilibrium theory. The proposed PE model accurately reproduces non-water-stressed evaporation across spatiotemporal scales. We find that terrestrial PE will increase at a similar rate to ocean evaporation but much slower than rates suggested by current PE models. This finding suggests that land-atmosphere coupling moderates continental drying trends. Budyko-based runoff projections incorporating our PE model are well aligned with those from coupled climate simulations, implying that land-atmosphere coupling is key to improving predictions of climatic impacts on water resources. Our approach provides a simple and robust way to incorporate coupled land-atmosphere processes into water management tools.					Garcia, Monica/N-1206-2014; Johnson, Mark/B-4445-2008	Garcia, Monica/0000-0002-4587-8920; Kim, Yeonuk/0000-0003-2993-8687; Johnson, Mark/0000-0001-5070-7539														2328-4277				FEB	2023	11	2							e2022EF002886	10.1029/2022EF002886	http://dx.doi.org/10.1029/2022EF002886													WOS:000935021300001
J	Jiang, H; Pan, YT; Liang, JW; Yang, YH; Chen, Q; Lv, MQ; Pang, L; He, WH; Tian, XJ				Jiang, Han; Pan, Yueting; Liang, Jiawen; Yang, Yinghui; Chen, Qi; Lv, Meiqi; Pang, Lu; He, Weihua; Tian, Xingjun			UV radiation doubles microbial degradation of standing litter in a subtropical forest	JOURNAL OF ECOLOGY												UV radiation has been recognized as a direct driver of litter decomposition by photodegrading organic matter in dryland ecosystems. However, the importance and mechanism of UV radiation on litter decomposition, especially on standing litter, in humid forest ecosystems remain unclear. We conducted a factorial experiment in a humid subtropical forest gap, manipulating the effects of UV radiation on the decomposition of standing litter under different microbial conditions. After 366 days of standing incubation, under normal conditions (UV pass with microorganisms), up to 40.63% of the litter mass was lost. However, under a UV pass without microorganisms, litter mass loss was only 16.30%. Under a UV block, the mass loss of litter with microorganisms was 27.68% and that of litter without microorganisms was 15.54%. Without microorganisms, UV radiation had no significant effect on the mass loss of litter carbon. However, UV radiation increased the DOC concentration of litter. And in the presence of microorganisms, UV radiation contributed to an increased mass loss of lignin by 16.72% and of cellulose by 14.75%. No negative effects of UV radiation on microorganisms were observed. These results suggest that UV radiation increased the net mass loss of litter by 106.67%, and this doubling promotion was achieved through microbial degradation. Synthesis. The increase in microbial degradation under UV radiation may be linked to the increased degradability of lignin and cellulose caused by photodegradation. Our study indicates that direct photodegradation by UV radiation could be weak in subtropical forests, but UV photofacilitation generates rapid turnover of carbon in this system.					ZHAO, S/IWV-4219-2023	Jiang, Han/0000-0002-4157-9536; Tian, Xingjun/0000-0002-0251-2582													0022-0477	1365-2745				SEP	2022	110	9					2156	2166		10.1111/1365-2745.13939	http://dx.doi.org/10.1111/1365-2745.13939		JUN 2022											WOS:000810582000001
J	Ashworth, AJ; Adams, TC; Nieman, C; Franco, JG; Owens, PR				Ashworth, Amanda J.; Adams, Taylor C.; Nieman, Christine; Franco, Jose G.; Owens, Phillip R.			Subsurface banding poultry litter influences edamame yield, forage quality, and leaf greenness	AGRONOMY JOURNAL												Poultry litter is generated in large quantities throughout the southeastern United States and is an excellent nutrient source for increasing crop yields. However, surface applications result in nutrient losses to air, soil, and water. Subsurface banding poultry litter is a promising technology for reducing nutrient losses to surface and groundwater, but information is needed on optimum crop seeding distance from bands. This study evaluated edamame [Glycine max (L.) Merr. 'Edamame'] yield (residue, pod, and total plant), crop quality, and leaf greenness. Subsurface banded poultry litter and crop row distances (13, 25, and 38 cm) were compared with surface-applied poultry litter (all received 168 kg ha(-1) total N) under irrigated and nonirrigated conditions from 2019 to 2020. Both chlorophyll and edamame total yields were greatest (P <= .05) under subsurface banding litter, relative to surface applications, regardless of distance. Overall, greatest total crop yields were observed for 13- and 25-cm banding distances under irrigation and the 38-cm distance, irrespective of irrigation, relative to surface applications. Residue nutritive value for the 13-cm distance was greater under irrigation than dryland. Both systems provided high levels of nutritive residual mass, thus edamame could be used as a vegetable crop and a forage following harvest. Overall, subsurface banding poultry litter in conservation tillage systems is a viable replacement to surface applications for edamame production (vegetable and fodder), particularly in organic systems. Results can be used to develop nutrient management plans for organic edamame and other specialty crop production systems in the Mid-South.						Adams, Taylor/0000-0002-2463-2657; Ashworth, Amanda/0000-0002-3218-8939; Owens, Phillip/0000-0002-5460-8500; Nieman, Christine/0000-0003-2142-2424													0002-1962	1435-0645				MAY	2022	114	3					1833	1841		10.1002/agj2.21048	http://dx.doi.org/10.1002/agj2.21048		APR 2022											WOS:000788461700001
J	Petersen, M; Bergmann, C; Roden, P; Nüsser, M				Petersen, Maike; Bergmann, Christoph; Roden, Paul; Nuesser, Marcus			Contextualizing land-use and land-cover change with local knowledge: A case study from Pokot Central, Kenya	LAND DEGRADATION & DEVELOPMENT												Rural communities in the drylands of sub-Saharan Africa (SSA) derive their livelihoods primarily from their natural resource base. Unprecedented changes in these environments over the past few decades are likely to intensify in the future and land users need to develop sustainable adaptation strategies. This study aims to identify land-use and land-cover (LULC) changes and their drivers in a sub-Saharan dryland, between 1986 and 2017, by integrating local knowledge and remote sensing. Local knowledge and environmental perception are used as the basis for defining LULC classes and for training and validation of change detection. This study detects significant LULC changes in 41% of the investigated area, and identifies bush encroachment into former pastures as the dominant LULC change with an increase of woodland by 39% and a decrease of grassland by 74%. This process is perceived as severe degradation by local respondents and is linked to changing management regimes and unreliable rainfall patterns. Deforestation and woodland thinning account for 44% of the detected changes, and can be traced back to increased habitation and farming, although the local community also identifies charcoal production as a driving factor. The integration of remote sensing and local knowledge provides a holistic view on LULC change in Pokot Central, Kenya and offers a solid base for site-specific and actor-centred management approaches necessary for sustainable pathways of drylands. Our results emphasize the need to include local actors in the development of adaptation strategies and management guidelines for drylands.					Nüsser, Marcus/N-2393-2015	Nüsser, Marcus/0000-0002-8626-8336; Petersen, Maike/0000-0003-0156-9541													1085-3278	1099-145X				JUN	2021	32	10					2992	3007		10.1002/ldr.3961	http://dx.doi.org/10.1002/ldr.3961		MAY 2021											WOS:000649580800001
J	Phillips, ML; Winkler, DE; Reibold, RH; Osborne, BB; Reed, SC				Phillips, Michala L.; Winkler, Daniel E.; Reibold, Robin H.; Osborne, Brooke B.; Reed, Sasha C.			Muted responses to chronic experimental nitrogen deposition on the Colorado Plateau	OECOLOGIA												Anthropogenic nitrogen (N) deposition is significantly altering both community structure and ecosystem processes in terrestrial ecosystems across the globe. However, our understanding of the consequences of N deposition in dryland systems remains relatively poor, despite evidence that drylands may be particularly vulnerable to increasing N inputs. In this study, we investigated the influence of 7 years of multiple levels of simulated N deposition (0, 2, 5, and 8 kg N ha(-1) year(-1)) on plant community structure and biological soil crust (biocrust) cover at three semi-arid grassland sites spanning a soil texture gradient. Biocrusts are a surface community of mosses, lichens, cyanobacteria, and/or algae, and have been shown to be sensitive to N inputs. We hypothesized that N additions would decrease plant diversity, increase abundance of the invasive annual grass Bromus tectorum, and decrease biocrust cover. Contrary to our expectations, we found that N additions did not affect plant diversity or B. tectorum abundance. In partial support of our hypotheses, N additions negatively affected biocrust cover in some years, perhaps driven in part by inter-annual differences in precipitation. Soil inorganic N concentrations showed rapid but ephemeral responses to N additions and plant foliar N concentrations showed no response, indicating that the magnitude of plant and biocrust responses to N fertilization may be buffered by endogenous N cycling. More work is needed to determine N critical load thresholds for plant community and biocrust dynamics in semi-arid systems and the factors that determine the fate of N inputs.					Winkler, Daniel E./C-5710-2019	Winkler, Daniel E./0000-0003-4825-9073													0029-8549	1432-1939				FEB	2021	195	2					513	524		10.1007/s00442-020-04841-3	http://dx.doi.org/10.1007/s00442-020-04841-3		JAN 2021						33415421					WOS:000605944300001
J	Pizarro-Araya, J; Alfaro, FM; Muñoz-Rivera, RA; Barriga-Tuñón, JE; Letelier, L				Pizarro-Araya, Jaime; Alfaro, Fermin M.; Munoz-Rivera, Rodrigo A.; Barriga-Tunon, Juan E.; Letelier, Luis			Arthropods of forestry and medical-veterinary importance in the Limari basin (Coquimbo region, Chile)	CIENCIA E INVESTIGACION AGRARIA												The Limari River valley, located in the Coquimbo Region of Chile, is an important area for agricultural production that pertains to the transverse valleys ecoregion, known as Norte Chico. In recent decades, the continuous expansion of agriculture towards the dryland areas has favored the introduction and establishment of potential pests, such as arthropods, that may affect forestry crops and transmit zoonotic diseases. We analyzed the arthropod assemblages that were of forestry and medical-veterinary importance in the Limari basin. After reviewing historical data, specimen collections, and the available literature, a total of 10 families, 39 genera, and 51 species of arthropods of forestry importance were recorded, 43.1% of which were of quarantine importance. Xylophagous groups of quarantine importance to the US included Cryptotermes brevis (Kalotermitidae), Neoterius mystax (Bostrichidae), Tyndaris planata (Buprestidae), Rhyephenes humeralis (Curculionidae) and Phoracantha recurva (Cerambycidae). Other quarantine insects of forestry importance recorded in the area included were Micrapate scabrata and Polycaon chilensis (Bostrichidae). In addition, the groups of medical-veterinary importance were represented by 11 families, 14 genera, and 18 species, 9 of which were arachnids and 9 were insects. Among the identified arachnids, the most important genera were Loxosceles (Sicariidae), Latrodectus, Steatoda (Theridiidae) and Rhipicephalus (Ixodidae), whereas among the identified insects, the most important were Triatoma and Mepraia (Reduviidae), Pediculus (Pediculidae), and Ceratophyllus (Ceratophyllidae). We hope this study serves as a basis for the development of forest pest monitoring and control programs as well as an understanding of the potential risks posed by zoonotic agents and their implications for public health.					Alfaro, Fermín M./AAU-4331-2020; Pizarro-Araya, Jaime/JDD-7227-2023	Alfaro, Fermín M./0000-0001-8790-6638; 													0718-1620					JAN-APR	2019	46	1					40	49		10.7764/rcia.v46i1.1907	http://dx.doi.org/10.7764/rcia.v46i1.1907													WOS:000469244500005
J	Choukri, H; Hejjaoui, K; El-Baouchi, A; El Haddad, N; Smouni, A; Maalouf, F; Thavarajah, D; Kumar, S				Choukri, Hasnae; Hejjaoui, Kamal; El-Baouchi, Adil; El Haddad, Noureddine; Smouni, Abdelaziz; Maalouf, Fouad; Thavarajah, Dil; Kumar, Shiv			Heat and Drought Stress Impact on Phenology, Grain Yield, and Nutritional Quality of Lentil (<i>Lens culinaris</i> Medikus)	FRONTIERS IN NUTRITION												Lentil (Lens culinaris Medikus) is a protein-rich cool-season food legume with an excellent source of protein, prebiotic carbohydrates, minerals, and vitamins. With climate change, heat, and drought stresses have become more frequent and intense in lentil growing areas with a strong influence on phenology, grain yield, and nutritional quality. This study aimed to assess the impact of heat and drought stresses on phenology, grain yield, and nutritional quality of lentil. For this purpose, 100 lentil genotypes from the global collection were evaluated under normal, heat, and combined heat-drought conditions. Analysis of variance revealed significant differences (p < 0.001) among lentil genotypes for phenological traits, yield components, and grain quality traits. Under no stress conditions, mineral concentrations among lentil genotypes varied from 48 to 109 mg kg(-1) for iron (Fe) and from 31 to 65 mg kg(-1) for zinc (Zn), while crude protein content ranged from 22.5 to 32.0%. Iron, zinc, and crude protein content were significantly reduced under stress conditions, and the effect of combined heat-drought stress was more severe than heat stress alone. A significant positive correlation was observed between iron and zinc concentrations under both no stress and stress conditions. Based on grain yield, crude protein, and iron and zinc concentrations, lentil genotypes were grouped into three clusters following the hierarchical cluster analysis. Promising lentil genotypes with high micronutrient contents, crude protein, and grain yield with the least effect of heat and drought stress were identified as the potential donors for biofortification in the lentil breeding program.					SMOUNI, Abdelaziz/GQZ-1979-2022; Thavarajah, Dil/AAK-8384-2021; Kumar, Shiv/AAV-9958-2020	Kumar, Shiv/0000-0001-8407-3562; Thavarajah, Dil/0000-0002-4251-7476; El Haddad, Noureddine/0000-0001-8848-4799; EL BAOUCHI, ADIL/0000-0002-7613-4019; Choukri, Hasnae/0000-0003-3526-8245													2296-861X					NOV 23	2020	7								596307	10.3389/fnut.2020.596307	http://dx.doi.org/10.3389/fnut.2020.596307								33330596					WOS:000595954600001
J	Prom, LK; Botkin, JR; Ahn, EJS; Sarr, MP; Diatta, C; Fall, C; Magill, CW				Prom, Louis K.; Botkin, Jacob R.; Ahn, Ezekiel J. S.; Sarr, Mame Penda; Diatta, Cyril; Fall, Coumba; Magill, Clint W.			A Genome-Wide Association Study of Nigerien and Senegalese Sorghum Germplasm of <i>Exserohilum turcicum</i>, the Causal Agent of Leaf Blight	PLANTS-BASEL												In Senegal, sorghum ranks third after millet and maize among dryland cereal production and plays a critical role in the daily lives of millions of inhabitants. Yet, the crop's productivity and profitability are hampered by biotic stresses, including Exserohilum turcicum, causing leaf blight. A total of 101 sorghum accessions collected from Niger and Senegal, SC748-5 and BTx623, were evaluated in three different environments (Kaymor, Kolda, and Ndiaganiao) in Senegal for their reactions against the leaf blight pathogen. The results showed that 11 out of the 101 accessions evaluated exhibited 100% incidence, and the overall mean incidence was 88.4%. Accession N15 had the lowest incidence of 50%. The overall mean severity was 31.6%, while accessions N15, N43, N38, N46, N30, N28, and N23 from Niger recorded the lowest severity levels, ranging from 15.5% to 25.5%. Accession N15 exhibited both low leaf blight incidence and severity, indicating that it may possess genes for resistance to E. turcicum. Also, the accessions evaluated in this study were sequenced. A GWAS identified six novel single-nucleotide polymorphisms (SNPs) associated with an average leaf blight incidence rate. The candidate genes were found in chromosomes 2, 3, 5, 8, and 9. Except for SNP locus S05_48064154, all five SNPs associated with the leaf blight incidence rate were associated with the plant defense and stress responses. In conclusion, the candidate genes identified could offer additional options for enhancing plant resistance against E. turcicum through plant breeding or gene editing.						Magill, Clint/0000-0001-8029-4317; Ahn, Ezekiel/0000-0003-4447-4104														2223-7747				DEC	2023	12	23							4010	10.3390/plants12234010	http://dx.doi.org/10.3390/plants12234010								38068647					WOS:001117699400001
