PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Lou, YC; Wu, T; Sun, GF; Cen, YF; Su, BN; Gao, ZL				Lou, Yongcai; Wu, Tong; Sun, Guanfang; Cen, Yunfeng; Su, Bingni; Gao, Zhaoliang			Effect of combined rainfall and inflow on soil erosion of spoil tips	JOURNAL OF SOILS AND SEDIMENTS												Purpose Spoil tips are an important source of newly increased water and soil loss in production and construction project areas. However, limited information focuses on the combination of rainfall and inflow effects on soil erosion of spoil tips. Therefore, this study aimed to quantify the effects of rainfall intensity, inflow rate and the interaction of rainfall and inflow on the slope erosion of spoil tips. Materials and methods The runoff plot dimensions were 5 mx 1 mx 0.5 m (length x width x depth), and the slopes were set as 32 degrees and 36 degrees. A series of field experiments was conducted to study the effect of rainfall intensity (1.5, 2.0 and 2.5 mm min(-1)), inflow rate (8, 10 and 12 L min(-1)) and the interaction between rainfall and inflow on the soil erosion of spoil tips. Results and discussion The results showed that rainfall intensity and inflow rate contributed 22.94-49.87% and 9.24-27.90%, 30.96-50.38% and 13.97-69.73%, respectively, to the runoff and soil loss. The interaction between rainfall and inflow contributed 6.18-38.65% to runoff and 20.72-70.83% to soil loss. The unit stream power, runoff shear stress and stream power can be considered the best hydrodynamic parameter to characterise the dynamic mechanisms of soil erosion under rainfall alone, inflow alone and rainfall + inflow, respectively. The corresponding critical values were 0.013 m s(-1), 4.230 N m(-2) and 0.774 N m(-1) s(-1). A dimensionless model for predicting slope soil erosion of spoil tips under the combination of rainfall and inflow was established based on the comprehensive consideration of rainfall, inflow, topography and runoff factors, which showed satisfactory prediction results (R-2 = 0.887, N-SE = 0.758). Conclusions Inflow rate was the key element affecting the soil erosion of spoil tips. Therefore, in the management of soil erosion in spoil tips, the focus should be on how to effectively regulate runoff from the platform and slope.																			1439-0108	1614-7480				AUG	2022	22	8					2229	2245		10.1007/s11368-022-03205-z	http://dx.doi.org/10.1007/s11368-022-03205-z		MAY 2022											WOS:000791625800001
J	Liu, L; Li, ZW; Li, ZJ; Liu, EF; Nie, XD; Liu, C; Xiao, HB				Liu, L.; Li, Z. W.; Li, Z. J.; Liu, E. F.; Nie, X. D.; Liu, C.; Xiao, H. B.			Effect of aggregate breakdown on the unevenly enriched organic carbon process in sediments under a rain-induced overland flow	SOIL & TILLAGE RESEARCH												Soil organic carbon (SOC) could be enriched in sediments for rain-induced overland flow. However, the features of the enriched SOC distribution in each size of sediment particles and the effect of aggregate breakdown on SOC enrichment features have not been completely investigated. Thus, the SOC concentration of different sizes of sediment aggregates was tested for all samples obtained for 27 simulated rainfall experiments conducted with 5 degrees, 10 degrees, and 15 degrees gradients at rainfall intensities of 45, 90, and 120 mm h(-1), respectively. The changes of SOC composition in aggregates from the original soil to sediments were estimated through the ratios of the variation percentage of the effective and dispersed each size of class sediment particle to that of the original soil particles (Ap). The contribution percentage of aggregate breakdown to the SOC enrichment in sediments (Ca) was also quantified. Results showed that Ca was above 50 % even when under an extremely high rainfall intensity of 120 mm h(-1) on a 15 degrees slope, but Ca decreased with the increase in overall rainfall intensity and slope. When the soil erosion rate is not high enough, Ca decreases with time because of the increase in the soil erosion rate. The absolute values of Aps of all size class particles were increased with the rainfall intensity and slope. However, the absolute values of Aps of clay- or fine silt-sized class particles changing between 0.11 and 0.68 were generally lower than those of coarse silt, fine sand, and coarse sand changing from -3.11 to 1.38, -0.35 to 0.06, and -1.3 to 0, respectively. This result indicates that 0.05-0.25-mm aggregates were more easily broken than other size particles, and the different sizes of particulate organic carbon chippings were more preferred transport than clay/silt-bonded aggregate fragments. The preferred transport of large amounts of 0.25-2-mm-size particulate organic carbon resulted in higher SOC enrichment ratios (ERocs) of 2.58 in 0.25-2-mm particle size class than others. The preferred transport of light particles, for example, mineral-associated and particulate organic carbon chippings exposed by aggregate stripping, caused the uneven enrichment of SOC in sediments. Last, a significantly negative correlation is observed among the mean weight diameter, the enrichment ratio (Er) of each size class particles in sediments, and Ca and ERocs of sediments (P < 0.05). If the rainfall intensity and slope are small, then many aggregates will be broken, and the uneven enrichment of SOC will be enhanced. Overall, our research provides an important reference to further understand the SOC loss mechanisms of soil aggregate induced by water erosion.						Liu, Lin/0000-0001-8817-4715													0167-1987	1879-3444				OCT	2020	204								104752	10.1016/j.still.2020.104752	http://dx.doi.org/10.1016/j.still.2020.104752													WOS:000580938500038
J	Meir, IA; Schwartz, M; Davara, Y; Garb, Y				Meir, Isaac A.; Schwartz, Moshe; Davara, Yosefa; Garb, Yaakov			A window of one's own: a public office post-occupancy evaluation	BUILDING RESEARCH AND INFORMATION												The prevalence of mechanical climatization in office buildings, alongside the dictate to conserve energy, has misguidedly promoted the construction of buildings with non-operable windows. Research shows that such buildings are detrimental to their occupants' wellbeing and productivity, sometimes causing them to feel overcooled or overheated. This post-occupancy evaluation illustrates such problems through the case study of a courthouse building in a hot arid environment. A strong association is shown between occupant satisfaction, building ventilation and sense of wellbeing at work. A positive correlation was found between satisfaction with personal control, and overall satisfaction survey results show that workers express a willingness to compromise future salary rises in order to receive operable windows. Key lessons for architects are discussed.					Korkmaz, Merve/V-3875-2018; Garb, Y./AAD-8596-2019	Meir, Isaac A./0000-0001-8427-5789													0961-3218	1466-4321				MAY 19	2019	47	4					437	452		10.1080/09613218.2018.1434366	http://dx.doi.org/10.1080/09613218.2018.1434366													WOS:000450405400008
J	Osiemo, MM; Ogendi, GM; M'Erimba, C				Osiemo, Mercy Mandere; Ogendi, George Morara; M'Erimba, Charles			Microbial Quality of Drinking Water and Prevalence of Water-Related Diseases in Marigat Urban Centre, Kenya	ENVIRONMENTAL HEALTH INSIGHTS												BACKGROUND: Accessibility to potable water is a fundamental right for dignity and well-being. Despite this observation, more than 1.1 billion people lack access to safe drinking water. This is particularly true in the Sub-Saharan Africa and South East Asia regions. OBJECTIVE: The main aim of this study was to assess microbial quality of drinking water and prevalence of water-related diseases in Marigat town, Baringo County, Kenya. METHODS: Samples of drinking water were collected from water sources (boreholes, rivers, and wells) and at the point of use (households) and analyzed for Escherichia coli and total coliform (TC) bacteria using the most probable number method. In situ measurements of pH and temperature were performed using a Wagtech International portable meter. Clinical health records from the local health centers were also reviewed to assess the prevalence rates of some of the water-related diseases. RESULTS: There were significant differences among water sources during dry season for E coli (F-2,F-21 = 3.629, P <.05) and TC (F-2,F-21 = 4.041, P <.05). Similar observations were made during wet season for E coli (F-2,F-21 = 4.090, P <.05) and TC (F-2,F-21 = 1.893, P <.05). Furthermore, there were significant interactions between the water sources and season for E coli (F-2,F-42 = 7.66, P <.01) and TC (F-2,F-42 = 5.494, P <.05). Drinking water in large plastic storage containers (herein referred to as sky-plast) had the highest E coli and TC concentrations. Typhoid was the most prevalent water-related disease during the dry season (10%), whereas diarrhea (3%) was the most prevalent during the wet season. CONCLUSIONS AND RECOMMENDATIONS: All drinking water at abstraction and point of use for Marigat residents are microbiologically contaminated and therefore pose serious health risks to consumers of such water. Thus, there is need for public health awareness campaigns on household water management to curb incidences of water-related diseases. Public health practitioners at county and national levels need to ensure that households have adequate access to potable water and improved sanitation.																			1178-6302					MAR 14	2019	13								1178630219836988	10.1177/1178630219836988	http://dx.doi.org/10.1177/1178630219836988								30899150					WOS:000462011100001
J	Ying, TY; Raman, AAA; Bello, MM; Buthiyappan, A				Ying, Tan Yan; Raman, Abdul Aziz Abdul; Bello, Mustapha Mohammed; Buthiyappan, Archina			Magnetic graphene oxide-biomass activated carbon composite for dye removal	KOREAN JOURNAL OF CHEMICAL ENGINEERING												A magnetic composite was synthesized using palm kernel shell-based activated carbon, graphene oxide (GO) and iron oxide. The morphology, textural properties, magnetic properties, crystal structure and functional groups of the composite were studied. The characterization shows the successful formation of the ternary composite with a high specific surface area (280.39 m(2)/g) and abundant surface functional groups. The magnetic properties of the composite indicate a saturation magnetization of 33.72 emu/g, signifying that the composite can be easily separated with an external magnetic field. The performance of the composite was then investigated through the removal of an anionic azo dye, Acid Blue 113, from aqueous solution. The effect of initial pH of the solution, adsorbent dosage and adsorption contact time was studied. The composite achieved an adsorption capacity of 32.2 mg/g and 96.3% dye removal. Effective dye removal was still achieved after five cycles of adsorption-regeneration, with the dye removal of 74% after the fifth cycle. The analyses of adsorption isotherm and kinetics show that the adsorption process fits pseudo-second-order kinetic and Langmuir isotherm models, indicating a monolayer chemisorption process. The excellent adsorption performance and reusability of the composite and its magnetic separability signify its potential as an adsorbent for wastewater treatment.					Buthiyappan, Archina/F-2208-2016; Bello, Mustapha/E-1024-2016; ABDUL RAMAN, ABDUL AZIZ/B-8094-2010; Buthiyappan, Archina/AAT-3749-2021	Buthiyappan, Archina/0000-0001-9427-3322; Bello, Mustapha/0000-0001-9128-080X; ABDUL RAMAN, ABDUL AZIZ/0000-0001-7586-1903; Buthiyappan, Archina/0000-0001-9427-3322													0256-1115	1975-7220				DEC	2020	37	12					2179	2191		10.1007/s11814-020-0628-9	http://dx.doi.org/10.1007/s11814-020-0628-9		NOV 2020											WOS:000589564000003
J	Liu, GY; Chen, LL; Deng, Q; Shi, XR; Lock, TR; Kallenbach, RL; Yuan, ZY				Liu, Guiyao; Chen, Lili; Deng, Qiang; Shi, Xinrong; Lock, Thomas Ryan; Kallenbach, Robert L.; Yuan, Zhiyou			Vertical changes in bacterial community composition down to a depth of 20 m on the degraded Loess Plateau in China	LAND DEGRADATION & DEVELOPMENT												Soil microbes are involved in the fundamental processes that underpin an ecosystem's function. However, little is known about the microbial communities that inhabit deep soil horizons, especially in degraded forest ecosystems. Here, we used high-throughput sequencing to investigate the vertical distribution of soil bacterial communities to a depth of 20 m in Pinus tabulaeformis and Robinia pseudoacacia forests on the Loess Plateau, China. We found that bacterial richness declined from the topsoil to a depth of 2 m in P. tabulaeformis forests and declined from the topsoil to a depth of 1 m in R. pseudoacacia forests, and thereafter increased. The relative abundance of alpha-Proteobacteria was higher in subsoils than in topsoils of P. tabulaeformis forests. It was highest at the depth of 20 or 14 m in both forest types, suggesting that alpha-Proteobacteria can survive dry, alkaline, low-nutrient environments. We also found a higher relative abundance of Acidobacteria in topsoils than in subsoils, indicating that Acidobacteria can grow well in nutrient-rich environments. Our results suggest that soil bacterial communities respond to nutrient changes associated with soil depth and plant species. These findings revealed that soil microorganisms persisted in deep and carbon-starved soils, especially for alpha-Proteobacteria, which may be adapted to resource-poor environments in deep soils.						Lock, Ryan/0000-0001-8653-465X; Kallenbach, Robert/0000-0001-9581-3386; Liu, Guiyao/0000-0002-9401-8820													1085-3278	1099-145X				JUN	2020	31	10					1300	1313		10.1002/ldr.3542	http://dx.doi.org/10.1002/ldr.3542													WOS:000537668600010
J	Luo, Y; Zhou, JJ; Jian, CX; Chen, Y; Wang, SY; Jin, Y; Xu, PD; Lei, SY; Xiong, PF; Xu, BC				Luo, Yang; Zhou, Junjie; Jian, Chunxia; Chen, Yang; Wang, Shaoyan; Jin, Yuan; Xu, Peidan; Lei, Siyue; Xiong, Peifeng; Xu, Bingcheng			The contribution of understory and Compositae species to canopy storage capacity of semiarid grassland communities on the Loess Plateau	ECOHYDROLOGY												Canopy rainfall interception reduces the effectiveness of limited rainfall resources in arid and semiarid regions. To clarify the effects of species composition and community vertical structure on canopy storage capacity, the artificial wetting and simulated rainfall methods were used to determine the species (C) and community (C-max) water storage, respectively, in three typical grassland communities on the semiarid Loess Plateau. Results indicated that water storage capacity of 31 grassland species ranged from 0.47 to 3.73 g g(-1), with an average of 1.60 g g(-1), and leaf storage capacity was significantly higher than the stem. Plant storage capacity was correlated with leaf traits (including leaf fresh weight, length and area). Canopy storage capacity of three grassland communities (Bothriochloa ischaemum, Artemisia gmelinii and Lespedeza davurica) ranged from 0.77 to 1.09 mm and were positively correlated with community leaf area index (LAI), coverage and leaf dry biomass. Leaf and stem water storage accounted for 57.6% and 42.4% of the total community, respectively. The water storage of Compositae, Gramineae, Leguminosae and other species accounted for 35.5%, 27.0%, 23.4% and 14.1%, respectively. The plants in the community with heights of >40, 20-40 and 0-20 cm contributed 5.8%, 30.3% and 63.9% of the water storage, respectively. The field observed canopy storage capacity was significantly higher than the estimated value through scaling up the individual storage data to the community, revealing complex community structure and species composition may increase actual rainfall interception. These results highlighted the species at 0-20 cm height was the key component affecting canopy water storage, and Compositae species may intercept more rainfall within the community, which imply that reducing the understory or Compositae species composition of grassland community would be helpful for increasing limited rainfall partitioning to soil in the drought area.						Zhou, Junjie/0000-0002-2489-4956													1936-0584	1936-0592				JAN	2023	16	1							e2482	10.1002/eco.2482	http://dx.doi.org/10.1002/eco.2482		SEP 2022											WOS:000856990300001
J	Hu, WJ; Liu, ZC; Jia, ZC; Lock, TR; Kallenbach, RL; Yuan, ZY				Hu, Wanjia; Liu, Zunchi; Jia, Zhicheng; Lock, Thomas Ryan; Kallenbach, Robert L.; Yuan, Zhiyou			Rapid estimation of fractional vegetation cover in grasslands using smartphones	JOURNAL OF ARID ENVIRONMENTS												Measurements of fractional vegetation cover (FVC) are important for monitoring grassland growth and predicting aboveground biomass. Thus, a method to rapidly estimate grassland FVC is highly desired. Although smartphones provide a faster and less expensive method for estimating grassland FVC than satellites and unmaimed aerial vehicles, their accuracy is not well understood. Here, we evaluated the use of smartphones to accurately estimate grassland FVC by taking photos in direct and indirect sunlight at three time points (8:00 a.m., 12:00 p.m. and 4:00 p.m.). We found that smartphone photography could be applied to grassland FVC estimation by extracting a specified percentile of color vegetation index (VIC) to reduce the effect of bright lighting. The 60th percentile value was more suitable for estimating grassland FVC than the 90th percentile, which was proposed in a previous study. We also found that extracting the 60th percentile VIC value from smartphone photos taken at noon under direct sunlight efficiently minimized the influence of lighting on estimated grassland FVC. We propose a model based on the VIC percentile method that can quickly estimate grassland FVC using smartphone photography. This model is very versatile for estimating FVC in semi-arid grasslands. Our findings show that using smartphone photos to quickly estimate grassland FVC is feasible and could provide a practical solution to quickly and accurately estimate grassland FVC.						Jia, Zhicheng/0000-0002-5129-8930													0140-1963	1095-922X				MAR	2022	198								104697	10.1016/j.jaridenv.2021.104697	http://dx.doi.org/10.1016/j.jaridenv.2021.104697													WOS:000787569500001
J	Teshome, D; Sori, T; Banti, T; Kinfe, G; Wieland, B; Alemayehu, G				Teshome, Dereje; Sori, Teshale; Banti, Taferi; Kinfe, Getachew; Wieland, Barbara; Alemayehu, Gezahegn			Prevalence and risk factors of <i>Brucella spp.</i> in goats in Borana pastoral area, Southern Oromia, Ethiopia	SMALL RUMINANT RESEARCH												Goat production plays an important role in the livelihood of Borana pastoralists. Optimal utilization of the goat population, is however, impaired by diseases such as brucellosis. Brucellosis is considered as one of the serious diseases incurring considerable loss to the goat industry through reproductive wastages. The situation of brucellosis has not been investigated in goats in Borana pastoral areas despite the frequent occurrence of abortion. This study wasconducted from November 2016 to April 2017, aimed at determining the prevalence of infection with Brucella species, identify the risk factors of infection and understand the knowledge, attitude and practice (KAP) of pastoralists about the disease. Serum samples were collected from a total of 789 goats from three randomly selected pastoral districts. The samples were tested using a competitive enzyme-linked immunosorbent assay (cELISA). The study survey results showed that most of the pastoralists (>= 64.2 %) and (>= 81.6 %) had poor knowledge about brucellosis and its zoonotic importance, respectively. From a total of 789 sera samples 137 (17.36 %; 95 % CI: 14.78, 20.19) tested positive for anti-Brucella antibodies. The highest seroprevalence was observed in Elwaya (71/252; 28.17 %; 95 % CI: 22.71, 34.16) followed by Moyale (48/332; 14.46 %; 95 %CI: 10.86, 18.71), whereas the lowest prevalence was observed in Yabello district (15/208; 8.78 %; CI: 5.29, 13.52). The results of multivariable logistic regression analysis revealed that sex and age of goats were significantly associated with seroprevalence of brucellosis. The odds of infection was nearly 7 times (OR: 6.97) higher in female goats than in males (P < 0.001). Adult goats were 12 times (OR: 12.19) more likely to be infected than their younger counterparts (P < 0.001). For goats raised in large sized flocks (OR = 2.57; P = 0.028) and for those goats originated from Elwaya district, the risk of infection was significantly higher (OR = 7.91; P < 0.001). The history of occurrence of reproductive problems in female goats is significantly associated with seropositivity to Brucella infection (OR = 5.32; P < 0.001). This study showed that a significant proportion of goats in Borana pastoral districts were infected with Brucella, suggesting its economic implication and zoonotic importance.					Alemayehu, Gezahegn/HTO-0206-2023; Tolera, Teshale/HCH-1589-2022	Alemayehu, Gezahegn/0000-0002-7017-3703; Teshome, Dereje/0000-0001-6347-9547; Wieland, Barbara/0000-0003-4020-9186													0921-4488	1879-0941				JAN	2022	206								106594	10.1016/j.smallrumres.2021.106594	http://dx.doi.org/10.1016/j.smallrumres.2021.106594													WOS:000788066600002
J	Chen, J; Zhang, NN; Pan, Q; Lin, XY; Shangguan, ZP; Zhang, JH; Wei, GH				Chen, Juan; Zhang, Ni-Na; Pan, Qing; Lin, Xue-Yuan; Shangguan, Zhouping; Zhang, Jian-Hua; Wei, Ge-Hong			Hydrogen sulphide alleviates iron deficiency by promoting iron availability and plant hormone levels in<i>Glycine max</i>seedlings	BMC PLANT BIOLOGY												Background Hydrogen sulphide (H2S) is involved in regulating physiological processes in plants. We investigated how H2S ameliorates iron (Fe) deficiency in soybean (Glycine maxL.) seedlings. Multidisciplinary approaches including physiological, biochemical and molecular, and transcriptome methods were used to investigate the H2S role in regulating Fe availability in soybean seedlings. Results Our results showed that H2S completely prevented leaf interveinal chlorosis and caused an increase in soybean seedling biomass under Fe deficiency conditions. Moreover, H2S decreased the amount of root-bound apoplastic Fe and increased the Fe content in leaves and roots by regulating the ferric-chelate reductase (FCR) activities and Fe homeostasis- and sulphur metabolism-related gene expression levels, thereby promoting photosynthesis in soybean seedlings. In addition, H2S changed the plant hormone concentrations by modulating plant hormone-related gene expression abundances in soybean seedlings grown in Fe-deficient solution. Furthermore, organic acid biosynthesis and related genes expression also played a vital role in modulating the H2S-mediated alleviation of Fe deficiency in soybean seedlings. Conclusion Our results indicated that Fe deficiency was alleviated by H2S through enhancement of Fe acquisition and assimilation, thereby regulating plant hormones and organic acid synthesis in plants.					zhang, nina/GXH-0962-2022; Chen, Juan/GXF-5536-2022														1471-2229					AUG 20	2020	20	1							383	10.1186/s12870-020-02601-2	http://dx.doi.org/10.1186/s12870-020-02601-2								32819279					WOS:000571781600001
