PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Liu, SS; Zhou, XC				Liu, Shanshan; Zhou, Xuecheng			The PMIP4 simulated dryland aridity changes during the Last Interglacial	ENVIRONMENTAL RESEARCH LETTERS												The dryland is one of the most important land ecosystems on the planet, and its changes are closely bound up with one-third of the world's population. Investigating dryland climate change during the Last Interglacial (LIG; & SIM;127 ka ago) can advance our knowledge of dryland climate behaviors in an orbitally-induced warmer-than-present scenario. Based on the multiple model outputs from the Paleoclimate Modelling Intercomparison Project Phase 4, we suggest that the dryland areas during the LIG are 37% wetter than that during the preindustrial period as measured by the aridity index (AI), and 37% of the preindustrial drylands correspondingly convert to wetter subtypes. Spatially, there are hemispheric differences with drylands wetting and contracting in the Northern Hemisphere but desiccating and expanding in the Southern Hemisphere. Further diagnosis indicates that the altered precipitation is the dominant contributor to more than 72% of the AI changes, and the precipitation change is mainly attributed to the orbitally-induced redistribution of incoming insolation and heat. The secondary factor is the relative humidity change, exaggerating the AI changes in the same direction as the precipitation does. The simulation agrees reasonably with reconstructions for most regions, except Australia and southern Africa. The simulated changes in dryland aridity and the mechanism differ from that in future warming scenarios, so we claim that the LIG as a potential analogue for a warmer future does not fully hold for the dryland climate.																			1748-9326					SEP 1	2023	18	9							094056	10.1088/1748-9326/acf725	http://dx.doi.org/10.1088/1748-9326/acf725													WOS:001067629100001
J	Dialesandro, JM; Wheeler, SM; Abunnasr, Y				Dialesandro, John M.; Wheeler, Stephen M.; Abunnasr, Yaser			Urban heat island behaviors in dryland regions	ENVIRONMENTAL RESEARCH COMMUNICATIONS												Urban heat island (UHI) characteristics and mitigation strategies for dryland cities differ from those for wetter urban regions. Whereas the latter typically see daytime surface UHIs, the rapid heating and cooling of deserts surrounding arid cities often produces daytime 'urban cool islands' and nighttime UHIs. Degrees of aridness, extent of vegetation, elevation, latitude, humidity, topography, and typical building types are likely to influence dryland UHI dynamics. This study analyzes variations in thermal effects at multiple scales for 10 dryland urban regions representing varied geographies worldwide with an aim to establish a broader understanding of the spectrum of UHI patterns in dryland cities. We used GIS to assemble daytime and nighttime satellite imagery, determined land surface temperature and vegetation at a 30-meter scale, and analyzed typical neighborhood-scale examples of six land cover types in each region. The 10 regions showed large variation in thermal effects. We found a strong daytime surface UHI in only one. Nighttime heat islands were more pronounced. However, all regions showed strong small-scale variation in temperature, averaging a 12.3 degrees C difference between mean top quintile and bottom-quintile surface temperatures. Samples of urban forest landscapes cooled daytime temperatures an average of 5.6 degrees C compared to metro averages. Irrigated lawn and multistory building land cover samples also had a substantial cooling effect. Xeriscaped landscapes amplified daytime heating. Our results indicate that UHIs for dryland cities are unlikely to be reduced by xeriscape strategies, but that shade-maximizing urban forestry and built form hold promise to reduce heat islands.						Abunnasr, Yaser/0000-0003-2997-7176; Wheeler, Stephen/0000-0002-5293-3254													2515-7620					AUG	2019	1	8							081005	10.1088/2515-7620/ab37d0	http://dx.doi.org/10.1088/2515-7620/ab37d0													WOS:000579506600005
J	Liu, ZW; Wang, TH; Yang, HB				Liu, Ziwei; Wang, Taihua; Yang, Hanbo			Overestimated global dryland expansion with substantial increases in vegetation productivity under climate warming	ENVIRONMENTAL RESEARCH LETTERS												Drylands are serviced as an essential component of the earth's ecosystem. The potential changes in dryland areas are of great importance to the environment, but various debates remain as to whether and to what extent drylands are expected to expand. Here we employ a physically-based potential evapotranspiration (E-P) model accounting for vegetation response to climate change to quantify potential changes in dryland areas, on the basis of a commonly used indicator, aridity index (multiyear mean EP over precipitation). Results show that by the end of this century, drylands will expand slightly by similar to 5%, while vegetation productivity will increase by similar to 50%. Elevated CO2 slows down the increase rate of EP that impedes the expansion of drylands, but greatly promotes vegetation growth with increases in both leaf assimilation and canopy foliage. These findings improve our understanding of the potential changes in dryland and their ecological impacts in a warmer climate.					Wang, Taihua/Q-4601-2018	Wang, Taihua/0000-0002-1620-5495; Liu, Ziwei/0000-0002-1488-093X													1748-9326					MAY 1	2023	18	5							054024	10.1088/1748-9326/accfb1	http://dx.doi.org/10.1088/1748-9326/accfb1													WOS:000980900100001
J	Gao, Y; Li, J; Hu, ZL; Shi, Y				Gao, Yu; Li, Jun; Hu, Zhanli; Shi, Yan			Effects of Acetochlor on Wheat Growth Characteristics and Soil Residue in Dryland	GESUNDE PFLANZEN												In this experiment, Jimai 22 was used as test material to investigate the impacts of acetochlor on the growth characteri*stics of dryland wheat and its residue in wheat grain and soil under field conditions. The results showed that acetochlor at a dosage of 750 g hm(-2) could effectively control weeds in wheat fields and benefit the growth of wheat in dryland. The plant height, ear length, number of tillers, aboveground and underground dry weight were heavier compared to the control after the application of acetochlor. From the jointing period to the filling period, the residual amount of acetochlor in the 0-20 cm and 20-40 cm soil layers was gradually reduced in the overall change, and the residual amount of acetochlor in the 0-20 cm soil layer in each growth period was more than the residual that of in the 20-40 cm soil layer. At the time of harvest, the residual amount of acetochlor in wheat grains was lower than the maximum allowable residue limit (MRL) value of acetochlor on wheat recommended by the United States. In addition, the residue of acetochlor in the soil of wheat field was also very small, all of which were lower than 0.02 mg kg(-1). It can be seen that the application of acetochlor is safe for wheat field soil and humans if the wheat is applied once after sowing, at the dosage is 750 g hm(-2).						Gao, Yu/0000-0002-3613-6490; Shi, Yan/0000-0001-7646-3106													0367-4223	1439-0345				SEP	2021	73	3					307	315		10.1007/s10343-021-00553-7	http://dx.doi.org/10.1007/s10343-021-00553-7		MAR 2021											WOS:000629517000001
J	Humphries, M; McCarthy, T				Humphries, Marc; McCarthy, Terence			Chemical sedimentation as a driver of habitat diversity in dryland wetlands	WETLANDS ECOLOGY AND MANAGEMENT												Freshwater wetlands located in dryland environments are characterised by high evapotranspiration rates and frequent periods of desiccation, which strongly influence the water chemistry and solute budgets of these systems. The transpiration of groundwater, especially by trees, is an important mechanism through which dryland wetlands can lose water. This process can lead to groundwater salinization and the precipitation of substantial quantities of minerals within the soil, the accumulation of which can have profound consequences for wetland structure and function. This paper aims to bring together current knowledge on the processes that result in solute accumulation and chemical sedimentation which assist in maintaining freshwater conditions in many seasonal dryland wetlands. Examples from central and southern Africa, Australia and South America are presented to illustrate the geomorphically diverse settings under which chemical sedimentation can occur, and the importance of these processes for the resilience and longevity of dryland wetlands. We show that the localised development of saline groundwater and subsurface precipitation of minerals within soils can play a key role in creating and maintaining the habitat diversity of dryland wetlands. Wetland vegetation localises the accumulation of deleterious constituents, thereby preventing widespread salinization and playa-lake formation, and thus ensuring that the bulk of the surface water remains fresh. Although such processes remain widely understudied, we suggest that chemical sedimentation could be a common phenomenon in many dryland wetlands and have important implications for the future management of these ecosystems.					Humphries, Marc/GWF-0221-2022	Humphries, Marc/0000-0002-4047-1451													0923-4861	1572-9834				AUG	2022	30	4			SI		675	694		10.1007/s11273-021-09851-3	http://dx.doi.org/10.1007/s11273-021-09851-3		NOV 2021											WOS:000721655500001
J	Kakeh, J; Sanaei, A; Sayer, EJ; Hazhir, S; Gorji, M; Mohammadi, MH				Kakeh, Jalil; Sanaei, Anvar; Sayer, Emma J.; Hazhir, Shadi; Gorji, Manouchehr; Mohammadi, Mohammad Hossein			Biocrust diversity enhances dryland saline soil multifunctionality	LAND DEGRADATION & DEVELOPMENT												Biocrusts are multifaceted communities including mosses, lichens, and cyanobacteria that are crucial for sustaining soil functions in drylands. Most studies on biocrust functions to date have focused on biocrust cover and development, largely in non-saline soils, and we know very little about the importance of biocrust diversity for maintaining multifunctionality in saline dryland soils. We assessed the direct and indirect linkages between biocrust richness, soil texture and salinity and soil multifunctionality by measuring 13 variables characterizing soil biological, nutrient and hydrological functions across 32 plots in a salinized dryland in northeastern Iran. We assessed the species richness of biocrust patches and characterized soil functions in bare soils. Overall, biocrust species richness declined with soil clay content and soil salinity, whereas soil salinity increased with soil clay content. Structural equation modeling showed a strong positive association between biocrust species richness and all measured dryland soil functions (soil biological, nutrient, and hydrological functions), but soil hydrological function declined with soil salinity. Overall, dryland soil multifunctionality was positively associated with biocrust species richness but negatively associated with soil clay content. Biocrust species richness likely enhances soil multifunctionality via the distinct roles of species and biocrust functional groups in providing carbon and nutrient inputs, creating favourable microsites, enhancing infiltration, and facilitating soil microbial colonization in saline dryland soils. Overall, our findings highlight a key role for biocrust diversity in facilitating and maintaining soil multifunctionality in drylands affected by soil salinity.					Sayer, Emma/B-2514-2010	Sayer, Emma/0000-0002-3322-4487; , Anvar/0000-0001-8334-6944													1085-3278	1099-145X				JAN 30	2023	34	2					521	533		10.1002/ldr.4476	http://dx.doi.org/10.1002/ldr.4476		NOV 2022											WOS:000877794400001
J	Luo, SS; Jia, ZJ; Tian, L; Wang, SJ; Chang, CL; Ji, L; Chang, JJ; Zhang, JF; Tian, CJ				Luo, Shasha; Jia, Zhongjun; Tian, Lei; Wang, Shaojie; Chang, Chunling; Ji, Li; Chang, Jingjing; Zhang, Jianfeng; Tian, Chunjie			Potential functional differentiation from microbial perspective under dryland-paddy conversion in black soils	AGRICULTURE ECOSYSTEMS & ENVIRONMENT												Improving soil carbon sequestration and reducing greenhouse gas emissions in farmland require understanding how the microbial communities that control the agroecosystem function. Here, we surveyed the soil microbial communities in neighboring pairs of dryland and paddy fields in the black soils of northeastern China. Soil moisture, mean weight diameter of aggregates, fluorescence index and biological index of dissolvable organic matter, total anion concentration, and prokaryotic community a-diversity were higher in paddy soils than in dryland soils, while soil saturated hydraulic conductivity (SHC), dissolvable total nitrogen, and fungal com-munity a-diversity were lower in paddy soils than in dryland soils. Moreover, soil moisture (P < 0.01) and SHC (P < 0.05) had significantly positive correlations with the a-diversity of prokaryotic and fungal communities, respectively. The co-occurrence network complexity of microbial communities was lower in paddy fields than in dryland fields, while the co-occurrence network tightness and cooperation of microbial communities were higher in paddy fields than in dryland fields, which may help paddy microbiome resist environmental disturbances. Taken together, both dryland and paddy fields had their own advantages in evaluating soil biological health from microbial community diversity and network stability. Additionally, the differential groups of CH4 production, S cycle, and Fe cycle (e.g., Bathyarchaeota, Bacteroidetes, and Geobacter) increased, while those of environmental remediation and biological control (e.g., Blastococcus and Roseiflexus) decreased after the change from dryland to paddy fields. Further combined with metagenomic analysis, the functions of CH4 production, CO2 fixation, N fixation, and sulfur reduction were enhanced in paddy soils, while those of CH4 oxidation, nitrification, and N2O production were reduced. In conclusion, the ecological functioning of the differential groups may lead to the increase of CH4 emission and CO2 fixation, and the decrease of N2O emission in paddy fields of black soil, even in non-flooding period.					wang, shaojie/HHY-8634-2022	wang, shaojie/0000-0002-6818-3136; Chang, Jingjing/0000-0001-5031-7581													0167-8809	1873-2305				SEP 1	2023	353								108562	10.1016/j.agee.2023.108562	http://dx.doi.org/10.1016/j.agee.2023.108562		MAY 2023											WOS:001053903200001
J	Peng, Y; Fu, BJ; Zhang, LX; Yu, XB; Fu, C; Diop, S; Hirwa, H; Guisse, A; Li, FD				Peng Yu; Fu Bojie; Zhang Linxiu; Yu Xiubo; Fu Chao; Diop, Salif; Hirwa, Hubert; Guisse, Aliou; Li Fadong			Global Dryland Ecosystem Programme (G-DEP): Africa consultative meeting report	JOURNAL OF ARID LAND												In order to enhance and restore the ecosystems of natural capital in African arid regions, the Global Dryland Ecosystem Programme (G-DEP) consultative meeting was hosted in Dakar, Senegal, from 23 to 25 September 2019. This paper details the first African meeting of the G-DEP. Consultative meeting reviewed preceding dryland ecosystems case studies, identified vulnerable arid and semi-arid regions, and proposed sustainable solutions to problems. It also identified the successes and failures of previous attempts to improve vulnerable ecosystems and ultimately formed an action plan to improve these attempts. Climate, ecosystems, and livelihoods for Sustainable Development Goals (SDGs), Great Green Wall Initiative (GGWI) for Sahara and Sahel, and China-Africa cooperation on science, technology, and innovation are three extra main sections concerned of the meeting. Separately, more specific topics as the complicated relationship between these natural processes and human activity, including pastoralism, soil restoration, and vegetation regenerate techniques, were fully discussed. Consultative meeting also identified the positive effects international collaboration can have on dryland regions, specifically in the capacity of sharing information, technology, and innovation on purpose to develop a joint proposal for long-term research programs in African arid and semi-arid areas. Moreover, meetings that review the progress made on ecosystem management for the sustainable livelihoods in Africa, identification of priority areas, and the development and implementation of ecosystem programs for proper research and collaboration in African arid and semi-arid zones, have been proposed as strategic recommendations to enhance the global partnership for sustainable development. Furthermore, as the outcomes of the workshop, there are three steps proposed to handle African dryland climate changes, several aspects suggested to solve current dilemmas of the GGWI, and a series of actions recommended for G-DEP related activities in Africa.					Fu, Bojie/B-1493-2009; Hirwa, Hubert/HHZ-8845-2022; Yu, Xiubo/A-5875-2016; Zhang, Lin/HZH-4842-2023; ZHANG, LIN/GYD-9123-2022; zhang, lin/IZQ-4870-2023; Peng, Yu/JEZ-5244-2023	Hirwa, Hubert/0000-0002-9038-0822; Peng, Yu/0000-0003-0043-9075													1674-6767	2194-7783				MAY	2020	12	3					538	544		10.1007/s40333-020-0056-z	http://dx.doi.org/10.1007/s40333-020-0056-z		JUN 2020											WOS:000538231000001
J	Leng, S; Huete, A; Cleverly, J; Gao, SC; Yu, Q; Meng, XY; Qi, JY; Zhang, RR; Wang, QF				Leng, Song; Huete, Alfredo; Cleverly, Jamie; Gao, Sicong; Yu, Qiang; Meng, Xianyong; Qi, Junyu; Zhang, Rongrong; Wang, Qianfeng			Assessing the Impact of Extreme Droughts on Dryland Vegetation by Multi-Satellite Solar-Induced Chlorophyll Fluorescence	REMOTE SENSING												Satellite-estimated solar-induced chlorophyll fluorescence (SIF) is proven to be an effective indicator for dynamic drought monitoring, while the capability of SIF to assess the variability of dryland vegetation under water and heat stress remains challenging. This study presents an analysis of the responses of dryland vegetation to the worst extreme drought over the past two decades in Australia, using multi-source spaceborne SIF derived from the Global Ozone Monitoring Experiment-2 (GOME-2) and TROPOspheric Monitoring Instrument (TROPOMI). Vegetation functioning was substantially constrained by this extreme event, especially in the interior of Australia, in which there was hardly seasonal growth detected by neither satellite-based observations nor tower-based flux measurements. At a 16-day interval, both SIF and enhanced vegetation index (EVI) can timely capture the reduction at the onset of drought over dryland ecosystems. The results demonstrate that satellite-observed SIF has the potential for characterizing and monitoring the spatiotemporal dynamics of drought over water-limited ecosystems, despite coarse spatial resolution coupled with high-retrieval noise as compared with EVI. Furthermore, our study highlights that SIF retrieved from TROPOMI featuring substantially enhanced spatiotemporal resolution has the promising capability for accurately tracking the drought-induced variation of heterogeneous dryland vegetation.					wang, qianfeng/AAY-6922-2020; Leng, Song/GNH-2574-2022; Cleverly, Jamie Rose/L-2134-2016; Keyes, Dennis/AAZ-9285-2021; Huete, Alfredo/C-1294-2008	wang, qianfeng/0000-0002-8460-6821; Leng, Song/0000-0001-6724-9597; Cleverly, Jamie Rose/0000-0002-2731-7150; Gao, Sicong/0000-0001-6429-1917; Huete, Alfredo/0000-0003-2809-2376; Zhang, Rongrong/0000-0002-1089-1869														2072-4292				APR	2022	14	7							1581	10.3390/rs14071581	http://dx.doi.org/10.3390/rs14071581													WOS:000781465200001
J	McLeod, MK; Sufardi, S; Harden, S				McLeod, Malem K.; Sufardi, S.; Harden, S.			Soil fertility constraints and management to increase crop yields in the dryland farming systems of Aceh, Indonesia	SOIL RESEARCH												In Aceh, Indonesia, low dryland crop yields entrench rural poverty. The lack of soil fertility information hinders the development of soil management programs to assist farmers to increase crop yield. This study identified soil-based constraints to production and management options to increase crop yield. We analysed 254 soil samples from 127 dryland cropping sites across Pidie, Bireuen, Aceh Besar and Aceh Barat districts for pH, soil organic carbon (SOC), total nitrogen (N), phosphorus (P), base saturation (BS) and cation exchange capacity (CEC). The dominant soils were Entisols, Inceptisols and Ultisols, with some Andisols and Mollisols. Overall, the CEC range was 10-60 cmol(+) kg(-1)and available P was 0.5-702 mg kg(-1) but most had poor fertility: SOC < 20.0 g kg(-1), total N < 2.0 g kg(-1), low basic cations and BS < 40%. The Ultisols and some Entisols and Inceptisols were acidic, with aluminium saturation >20% and available P < 6.5 mg kg(-1). To sustainably increase crop yield, we concluded that these soils need lime where acidic, fertilisers for nutrients and stable carbon-rich amendments for system stability. This dataset will guide future agricultural research and development programs in Aceh to improve farmer practices and food security.					Sufardi, Sufardi/HTP-0136-2023; harden, steven/AAB-1796-2019	harden, steven/0000-0002-0632-2452; Sufardi, Sufardi/0000-0002-6666-4315													1838-675X	1838-6768					2021	59	1					68	82		10.1071/SR19324	http://dx.doi.org/10.1071/SR19324		AUG 2020											WOS:000563095300001
